ID	Block	Pop	CrossPop	Cytop	FamA	Fam	SurvPla	SurvSum0	SurvWin1	SurvSum1	SurvWin2	SurvSum2	SurvWin3	SurvSum3	SurvWin4	SurvSum4	Flow1	Flow2	Flow3	Flow4	TotSh1	TotSh2	TotSh3	FrSh1	FrSh2	FrSh3	SeFrG1	SeFrG2	SeFrG3	FlStart1	FlStart2	FlStart3	H1Sh1	TotFl1	PsM12
233	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	0	0	0	0	0	1	0	0	0	12	0	0	5.1	0	0	7.666667	0	0	159	NA	NA	7.07	140	9.0368
234	S2	N	N	N	N2	N2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
235	S2	F1 	Nx	N	F1B	F1B	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	3	0	7	4	0	14	9	0	159	157	NA	3.53	8	15.85706667
236	S2	F1 	Nx	N	F1C	F1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
238	S2	N	N	N	N10	N10	1	1	1	1	1	1	0	0	0	0	1	1	0	0	10	8	0	3.8	5	0	6	0	0	163	166	NA	5.84	57	14.1286
239	S2	S	S	S	S7	S7	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	11	0	3	7.333333	0	7.666666667	153	NA	159	2.4	16	4.8059
240	S2	F1 	Nx	N	F1C	F1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
242	S2	N	N	N	N2	N2	1	1	1	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	0	0	NA	NA	NA	NA	0	NA
243	S2	F1	Sx	S	F1A	F1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	3	3	2.5	1	7	6.333333	1	0.666666667	159	166	158	5.09	27	11.8548
244	S2	N	N	N	N4	N4	1	1	1	1	0	0	0	0	0	0	1	0	0	0	3	0	0	2.5	0	0	2.333333	0	0	167	NA	NA	5.19	6	13.81706667
